,text,airline_sentiment,nb_bow,nb_tfidf,dt_bow,dt_tfidf
2033,told chang flight im ottawa airport ac cant find reserv what wrong,negative,negative,negative,negative,negative
778,im constantli challeng upgrad amp charg order prevent dvt pay addtl 180,negative,negative,negative,negative,negative
124,absolut best team custom servic ever everi time fli im delight thank,positive,positive,positive,positive,positive
7149,flight attend fuck tho rt fleet fleek,negative,negative,negative,negative,negative
9847,printer problem caus u sit runway 45 min get togeth,negative,negative,negative,negative,negative
11823,chang without penalti call custom servic,neutral,positive,positive,neutral,neutral
7244,issu think train amp inform would help great ppl servic need switch individu group better,negative,negative,negative,negative,negative
8909,ye great realtim exampl thank awesom jetblu jvmchat,positive,positive,positive,positive,positive
9083,see board tomorrow,positive,neutral,neutral,neutral,neutral
1215,tri makechang reserv get extrem frustrat give tri anoth airlin,negative,negative,negative,negative,negative
10635,umm defin extra time,negative,negative,negative,negative,negative
5394,plz consid custom your lose aa kc okc direct okcdirect okc mci flight okcprofession,neutral,neutral,neutral,neutral,neutral
3381,nonrefund henc wrote 200 doesnt make sen 150 credit nothank,negative,negative,negative,negative,negative
10949,yeah mark like mile back also hour late flight thank ton great servic today,negative,negative,negative,negative,negative
6368,servic promot moment modelodenegocio innov innovacion businessmodel,neutral,positive,positive,neutral,neutral
4079,told supervisor unit disconnect custom support nobodi address igiveup,negative,negative,negative,negative,negative
1082,sinc bulkhead seat bag floor dont u reserv ohead space seat 1b ua246 impress,negative,negative,negative,negative,negative
5226,flight phl fll cancel flight 221 flight avail 224 done sw,negative,negative,negative,negative,negative
8788,alway fan mayb next time ill fli real custom servic,negative,negative,negative,negative,negative
9002,standbi far two u snow storm hit iowa tomorrow could stuck two day,negative,negative,negative,negative,negative
6239,im realli crave pretzel plea send,positive,neutral,neutral,neutral,neutral
6178,bingo thank bring attent well happi reach noah make right mr,positive,positive,positive,positive,positive
7826,travel bank credit go cant call right,negative,negative,negative,negative,negative
5641,that happen power level goe 9000 foot air,neutral,positive,positive,neutral,neutral
9386,find funni respond dont custom servic worst wedontcarebecauseyoupaidalreadi,negative,negative,negative,negative,negative
1213,768 sfo bo internet 2015 give,negative,negative,negative,negative,negative
7670,im curiou know compens passeng miss engag due two hour wait tarmat get gate,negative,negative,negative,negative,negative
4394,two hour ugh get voucher inexcus esp pre flight check ok,negative,negative,negative,negative,negative
2391,hello fli first class behind 20 peopl zone 1 pl pas app dept board 1st class first,negative,negative,negative,negative,negative
3484,spend 20 minut beat ladi bag fee random stranger come pay fee randomactsofcorporategre,negative,negative,negative,negative,negative
146,question possibl book seat infant 2 give option want seat,negative,negative,negative,negative,negative
4695,nice touch passbook integr,positive,positive,positive,neutral,neutral
7932,thank,positive,positive,positive,positive,positive
4679,anoth great trip lax 823 la 3075 bna thank much,positive,positive,positive,positive,positive
4929,gf lost promis ring gave flight 2707 2212015 sfogtsna infin silver band ring plea help,neutral,positive,positive,neutral,neutral
10928,flight delay amp close door tell u would leav hour half bad bad servic,negative,negative,negative,negative,negative
2578,ok sent u info via dm appreci help consider,positive,positive,positive,positive,positive
9118,nope announc head back gate,negative,negative,negative,negative,negative
8938,got flight reschedul flight form pit fll flight mechan problem delay hour miss connect,negative,negative,negative,negative,negative
10474,your right fun especi dont much choic lol curvygirltravel,negative,negative,negative,negative,negative
8069,ceo battl appeas passeng wall street lake wyli pilot,neutral,neutral,neutral,neutral,neutral
10489,told return call human,negative,negative,negative,negative,negative
6647,alway fli sw loyalrrmemb,positive,positive,positive,neutral,neutral
7316,board flight 0510 captain inform could exceed the16 hr regul turn plane around incred,negative,negative,negative,negative,negative
3946,gener form ton field ask info alreadi expect premier platinum anoth servicefail,negative,negative,negative,negative,negative
1512,cheap couldnt afford run ac ua1510 took pressur cooker new level cheap worstairlin,negative,negative,negative,negative,negative
10317,delay depart bc ur flight attend wasnt land took 3 hr get gate anoth bag,negative,negative,negative,negative,negative
3954,mile go restructur help silver statu brotha thought win guy today lol,negative,negative,negative,negative,negative
4078,thank help total appreci made super easi,positive,positive,positive,positive,positive
4263,costum servic suck wait week respons,negative,negative,negative,negative,negative
10574,sean keep mind callplan hold 3 hour,negative,negative,negative,negative,negative
1355,im glad didnt mean doesnt excus ineffici took 70min bag arriv flight,negative,negative,negative,negative,negative
6321,experi wors fli experi ive ever met w contempt custom servic make wors,negative,negative,negative,negative,negative
11060,flight 500 seattl 10000lb much fuel water lavoratori nice job guy est 40min behind,negative,negative,negative,negative,negative
3842,there reason take 710 day respond,negative,negative,negative,negative,negative
2847,busi decis made inconveni possibl caus lost custom good busi decis cranki,negative,negative,negative,negative,negative
10236,8 hr wait time unbelieavl unaccpet biggest airlin world failback call center,negative,negative,negative,negative,negative
4161,thank attent would actual like make specif complaint custom servic dca best option,negative,negative,negative,negative,negative
3947,wtf usernam andor email addr signin still unavail tri login sinc sunday,negative,negative,negative,negative,negative
8033,ill see board soon,positive,neutral,neutral,neutral,neutral
9648,nope appar way guy busi guess im fli southwest blue,negative,negative,negative,negative,negative
1063,standbi denver delay confirm aspen whose flight cancel flight day 0 confid,negative,negative,negative,negative,negative
9388,flight rebook want chang seat upgrad 1st class help phone,negative,negative,negative,negative,negative
10845,staff lax realli mess one fail scan suitcas tag,negative,negative,negative,negative,negative
2752,realli get horribl much tuck kid tonight delta transfer milesstatu right,negative,negative,negative,negative,negative
6075,hilari flight attend vega detroit tonight,neutral,positive,positive,neutral,neutral
1336,thank upgrad today great way start week cc,positive,positive,positive,positive,positive
2509,3 hour sit plane hasnt left gate yet 6 hour actual fli left,negative,negative,negative,negative,negative
8407,possibl way contact fraud depart mail physic letter telephon email realli,negative,negative,negative,negative,negative
604,what point ask detail servicedog book flight crew doesnt read continu,negative,negative,negative,negative,negative
8524,whoa tag still saw tweet flight 105 jfk chicago tri get home see littl brother wrestl,negative,negative,negative,negative,negative
9319,oper flight without mainten issu flight inout dca cancel flight get old updat fleet pl,negative,negative,negative,negative,negative
289,soooo guy go leav seatbelt light flight bare call turbul,negative,negative,negative,negative,negative
1900,get okc sacramento today dfw close,neutral,neutral,neutral,neutral,neutral
1254,two year old birthdat 11132012,neutral,neutral,neutral,neutral,neutral
6849,ive experienc better servic make connect flight badcustomerservic jfk pr,negative,negative,negative,negative,negative
10348,cancel flightl flight 1796 baggag held hostag chl commun,negative,negative,negative,negative,negative
1127,b4 board attend took shoe ampsock desk show agent foot gross,negative,negative,negative,negative,negative
8039,ur ask heavi gun know iwoulddoanythingforlov brandmanc lovesongfriday,neutral,positive,positive,neutral,neutral
8790,understood could go put standbi list 5 hour prior flight,negative,negative,negative,negative,negative
3543,pl post video belliger jerk rant sfo 1230 that he go sue make check 3rd bag he hoot,negative,negative,negative,negative,negative
8237,thank much relax flight,positive,positive,positive,positive,positive
9910,made bahama work luggag didnt know travel happen anyway get helpinfo,negative,negative,negative,negative,negative
2096,2 hour delay doubl book seat nit park wrong gate incompet finest wait 1 hr,negative,negative,negative,negative,negative
10283,thank,positive,positive,positive,positive,positive
4799,custom servic passiv respons disappoint flown sw rethink,negative,negative,negative,negative,negative
8735,thank u hang tampa airport forev today realli awesom experi,positive,positive,positive,positive,positive
3327,would like know possiabl checkin onlin must done schiphol,neutral,neutral,neutral,neutral,neutral
10762,debit card dividend member,neutral,neutral,neutral,neutral,neutral
11130,as backward process use credit flight even tri get hold custom relat imposs,negative,negative,negative,negative,negative
10751,noth tonight flight gogo internet way someon could send dm email,neutral,neutral,neutral,neutral,neutral
7347,plea get luggag 2070 onto carousel 5 logan airport ill abl go home,negative,negative,negative,negative,negative
4646,feel frustrat bought wifi onboard cant load email,negative,negative,negative,negative,negative
8281,what hold flight 1553 board shouldv taken place 30 minut ago,negative,negative,negative,negative,negative
9435,4 segment 44 delay gnv gt ctl ctl gt jan jan gt ctl ctl gt gnv year fli guy way go,negative,negative,negative,negative,negative
166,plan includ austin dalla rout topnew arab emir,neutral,neutral,neutral,neutral,neutral
8990,thank make miss meet dalla 700 dollar toilet,negative,negative,negative,negative,negative
10996,freez bu circl,negative,negative,negative,negative,negative
3463,year van gogh fan visit europ,neutral,positive,positive,neutral,neutral
5055,impress 8 hour delay flight equip failur compens offer,neutral,negative,positive,neutral,neutral
10733,still wait brokenpromis notnic neveragain tellyourstori,negative,negative,negative,negative,negative
5698,fjbfsc need receipt show 77620 charg amex 656xx keep get sent,negative,negative,negative,negative,negative
2569,ye keep get robot answer,negative,negative,negative,negative,negative
10857,want find bag wont go hassl tri claim suitcas usairwaysfail,negative,negative,negative,negative,negative
3355,long 140 charact,negative,negative,negative,negative,negative
5306,call,negative,negative,negative,negative,negative
5920,thank get look like bwisjd servic stop aug 7 case cant find one date flight,neutral,positive,positive,neutral,neutral
3920,deal via email anyth crappi web form made mobil devic,negative,negative,negative,negative,negative
10971,respons doesnt correct fact pilot fail keep passeng updat,negative,negative,negative,negative,negative
8818,land thank anyway btw flight staff flight 654 wonder despit full day heavi load,positive,positive,positive,positive,positive
6202,1750 bonu 1800flower still expir 21415,neutral,neutral,neutral,neutral,neutral
7145,woof,neutral,neutral,neutral,neutral,neutral
539,see told repeatedli pilot late flight kept get late flightr board defibril issu,negative,negative,negative,negative,negative
273,cutest salt pepper shaker ever think guy cant get better,positive,positive,positive,neutral,neutral
1412,bag left behind plane overweight great knew soon land instead let u wait 45 minut info,negative,negative,negative,negative,negative
8343,fli soon nyc airlin airlin ive flown your still 1,positive,positive,positive,positive,positive
11075,bring copi photo babi birth certif flight feel uncomfort travel real thing,neutral,neutral,neutral,neutral,neutral
849,real deal delay flight ua 1032 denver vega,negative,negative,negative,negative,negative
3847,perhap could fix answerthi,negative,negative,negative,negative,negative
7309,keep wait time cost anyth hundr peopl pay thousand dollar feedback,negative,negative,negative,negative,negative
9325,thank resolv issu direct flight sfo,positive,positive,neutral,positive,positive
1513,sunday husband travel chicago he stuck tarmac amp miss connect flight alway,negative,negative,negative,negative,negative
7129,lolz fleek,neutral,neutral,neutral,neutral,neutral
5583,rout flight mexico citi chicago midway use servic,neutral,neutral,neutral,neutral,neutral
2971,ye still dont know ive told might flight one confirm,negative,negative,negative,negative,negative
11936,iphon 6 64gb 6 plu,neutral,neutral,neutral,neutral,neutral
6174,pl help get resolv amp reimburs made gracia rico pl send privat msg phone number email address,negative,negative,negative,negative,negative
6298,oh gosh serious made day week year one appreci,positive,positive,positive,positive,positive
2050,fact treat disrespect lie member airlin claim strive best,negative,negative,negative,negative,negative
1220,solv final pick second time call thank respons jh 721 dull work,positive,positive,positive,neutral,neutral
10202,8am flight mco canld amp resch 130if opt 8 depart tom u air allow cng return day sat sun wo penalti,neutral,neutral,neutral,neutral,neutral
8319,rep bruin cleveland rock n roll hof amp christma stori hous jetbluebruin,neutral,positive,positive,neutral,neutral
4694,thank lindsey idea ill get stuck denver told listen intercom better,neutral,positive,positive,neutral,positive
256,plan start fli direct dal la,neutral,neutral,neutral,neutral,neutral
3051,flight 4465 almost half hour tarmac wait paper miss connect iah,negative,negative,negative,negative,negative
8649,get leg room tonight b6 304,neutral,positive,positive,neutral,neutral
11486,way someon contact agent avail need help flight book problem award flight,negative,negative,negative,negative,negative
4616,3 hour 80 degre differ ye plea mht mco,positive,neutral,positive,neutral,neutral
11545,board yet depart thank respons,positive,positive,neutral,positive,positive
4396,follow back dm,neutral,neutral,neutral,neutral,neutral
5774,hi compani fli time wonder could plea share link amp read,positive,neutral,neutral,neutral,neutral
6262,southwest schedul fli costa rica march 7 cant book onlin avail,negative,negative,negative,negative,negative
6797,yer deal never seem includ nycgtpdx nycgtpghwish,neutral,neutral,neutral,neutral,neutral
5947,report file would like support activ search feel pretti passiv info comput preciou,negative,negative,negative,negative,negative
803,better train support staff appropri decorum consid revisit terribl provid death certif polici,negative,negative,negative,negative,negative
9349,offer give bag usual forc passeng state shock,negative,negative,negative,negative,negative
9993,accord dca seem recov nice yesterday snow cancel flightl flight,negative,negative,negative,negative,negative
7338,crew didnt say safeti say glad stay check inform give costum,negative,negative,negative,negative,negative
7679,flight attend hesit give babi size cooki,negative,negative,negative,negative,negative
1459,noth compens given circumst feel like must someth,negative,negative,negative,negative,negative
11446,yeah either refund money 2 free round trip compens troubl put,negative,negative,negative,negative,negative
5269,confus receiv trip around corner email alreadi cancel flightl flight,negative,negative,negative,negative,negative
2863,refresh browser right checkouterror load messag ticket price increas 358 matter sec dounotwantmybusi,negative,negative,negative,negative,negative
1031,ye said took hour,negative,negative,negative,negative,negative
6553,flight cancel flightl monday look cancel flight credit card that,negative,negative,negative,negative,negative
5509,kid want fuck money scumbag,negative,negative,negative,negative,negative
592,silli im fli delta today unit club staff attend surli unhelp alway seem bother peski folk,negative,negative,negative,negative,negative
9266,agre per captain issu happen board amp sat plane almost 2 hr,negative,negative,negative,negative,negative
10887,idea custom servic mean custom mess plan dont treat like big deal,negative,negative,negative,negative,negative
9227,dividendreward urgent need speak c rep 50k mile havent shown amp ive fulfil req flight book problem flight today,negative,negative,negative,negative,negative
1310,thank got straightend last night,neutral,positive,positive,positive,positive
1168,3 hour rebook 8 hour l8r problem arriv gate stop caus infant sit 4 yr old lap,negative,negative,negative,negative,negative
5837,crew 4649 great u today travel ft lauderdal louisvil 2 kid 7 thank,positive,positive,positive,positive,positive
3189,need plane get buffalo leav tonight progress,negative,negative,negative,negative,negative
9481,grrrrrrrr couldnt book flight via call either,negative,negative,negative,negative,negative
10632,onlin clearli state say call re alreadi explain,negative,negative,negative,negative,negative
6541,charg station san,negative,negative,negative,negative,negative
4118,yesterday im sort,neutral,neutral,positive,neutral,neutral
11756,would love combin aa usair acct unfortun one middl name amp one middl initi wont allow chang,neutral,neutral,neutral,neutral,neutral
4048,time rantyou delay flight still forgot luggagethen delay tarmac moment love unit,negative,negative,negative,negative,negative
9103,know probabl way get cheaper airfar ticket flight leav hour,neutral,neutral,neutral,neutral,neutral
11752,thx respond bag came mad rush toward end jetwaywhi put thru baggag claim,negative,negative,negative,negative,negative
6310,realli 15 hour plane gate jax2bna like havent wait day get home notokay,negative,negative,negative,negative,negative
5579,doesnt care sna agent jacqui plitt rude gal bad attitud 2 fli 2 cabo thx,negative,negative,negative,negative,negative
9966,noth issu fli wu what wthat travel vacat aw,negative,negative,negative,negative,negative
246,thank great custom servic today amp help get travel sort,positive,positive,positive,positive,positive
11458,thank reach gold div 2k424j0 flight chang confirm dnx58v,positive,positive,positive,positive,neutral
9008,get receipt chang fee origin book mile,neutral,neutral,neutral,neutral,neutral
10288,abandon 40 boston bound flierssomeon manag need savefac showup,negative,negative,negative,negative,negative
1507,chanc flight ewr pit cancel flight tomorrow,neutral,neutral,neutral,neutral,neutral
9864,realli meal voucher 7 hour flight delay virgin island,negative,negative,negative,negative,negative
8713,awe guy great cant wait travel soon,positive,positive,positive,positive,positive
1646,nope even better 4 seat due wampb first rais hand got move wasnt fast enough,positive,positive,positive,neutral,neutral
8680,head page longer exist,negative,negative,negative,negative,negative
6142,anticip cancel flightlat flight nashvil tomorrow thank,neutral,positive,positive,positive,positive
2034,worst flight experi ive ever thank end vacat bad note,negative,negative,negative,negative,negative
7461,usual dobut didnt make flight book problem timethatl teach yea go least haha,neutral,positive,positive,neutral,neutral
4047,want plane dad,neutral,positive,positive,neutral,neutral
10796,shavon custom servic desk charlott fantast help smile evn sound like long dayreward,positive,positive,positive,neutral,neutral
10254,check flight yesterday bump tuesday flight unaccept agent speak,negative,negative,negative,negative,negative
9278,submit request would appreci call 9am eastern thank,neutral,positive,positive,positive,positive
3393,great way start vacat time departur look forward global first class suit,positive,positive,positive,positive,positive
798,well consid everi agent claim unabl help everyth el wast time hear call corp,negative,negative,negative,negative,negative
4223,dont see need spend extra 100 bc ur equip failur,negative,negative,negative,negative,negative
7986,flight wasnt 951pm alreadi delay,negative,negative,negative,negative,negative
9373,cust svc let slip previou cust svc lie supervisor amp corpor ph 200 chang 130 tix thx,negative,negative,negative,negative,negative
11278,realli frustrat endlessli wait phl ground crew taxi u 10pm night take long,negative,negative,negative,negative,negative
525,ye david allan send email number kmm24999563v99860l0km case8719519,neutral,neutral,neutral,neutral,neutral
1649,serious what slow wifi flight speed go chang wors price shouldnt go,negative,negative,negative,negative,negative
427,incred custom servic ive ever experienc refresh,positive,positive,positive,neutral,neutral
8650,2nd time fli jetblu year armrest tv control doesnt work agianand that main reason fli jetblu,negative,negative,negative,negative,negative
8994,ur respons inconveni matter u want sit 3 xtra night citi wout comp donotflyusair,negative,negative,negative,negative,negative
7556,sunni gorgeou ny actual what real reason,negative,negative,negative,negative,negative
6699,ive hold custom servic hour help,negative,negative,negative,negative,negative
3588,dcaewr flight 4372,neutral,positive,positive,neutral,neutral
8655,thank,positive,positive,positive,positive,positive
6571,start ive alreadi wast 15 hr phone wait time alreadi,negative,negative,negative,negative,negative
4977,thank respons flight time pas rebook,negative,negative,negative,negative,negative
3848,wife share dread experi dont pretend ua care young girl travel alon unit airlin,negative,negative,negative,negative,negative
270,way take advantag mayweatherpacquiao,neutral,neutral,neutral,neutral,neutral
9653,legitim say would rather driven cross countri flown u airway,negative,negative,negative,negative,negative
7506,thank good sunday,positive,positive,positive,positive,positive
7838,mom baggag lost fli 1557 fort lauderdalebogot today colombian employe treat u badli need help plea,negative,negative,negative,negative,negative
10006,worst fli experi guy need better,negative,negative,negative,negative,negative
4212,quick respons offer assist lack follow realli servic expect,negative,negative,negative,negative,negative
1746,way help find flight la stuck dia sat plane 2 hr wait hour updat,negative,negative,negative,negative,negative
10639,land phoenix board flight quickli vega time airport,neutral,neutral,neutral,neutral,neutral
10633,deal w fam emerg told rebook aa flight 4297 ord system need help asap,negative,negative,negative,negative,negative
7299,thought mosaic member perk best part instead check extra 5lb im carri,negative,negative,negative,negative,negative
184,way fli elev gold,positive,neutral,neutral,neutral,neutral
6497,thank take good care luggag,negative,negative,negative,negative,negative
10108,dont know luggag serious,negative,negative,negative,negative,negative
5950,amaz c today sw thank much reason fli southwest,positive,positive,positive,positive,positive
5235,hi got messag part flight cancel flightl cant rebook onlin nobodi answer phone call help,negative,negative,negative,negative,negative
6642,follow dont think dm follow,neutral,neutral,neutral,neutral,neutral
6248,10 revenu flight sinc begin 2015,neutral,neutral,neutral,neutral,neutral
6132,doesnt even gluten free peanut whyyi,negative,negative,negative,negative,negative
3293,well taken care thank ive alreadi sent survey request amp ill share posit experi despit delay,positive,positive,positive,positive,positive
6580,lga san diego,neutral,neutral,neutral,neutral,neutral
2765,incompetentrud servic today miss connect flight custom servic desk terribl realli upset w untd,negative,negative,negative,negative,negative
11718,conf number fmjtyl delay chanc get earlier flight fll phx,neutral,neutral,neutral,neutral,neutral
10260,fli orlando philli charlott lynchburg saw advisori philli wld like fli orl char,neutral,neutral,neutral,neutral,neutral
2066,left delay,negative,negative,negative,negative,negative
1520,didnt realiz bag content wet got hotel sent suitshirt dri clean mtg start tomorrow,negative,negative,negative,negative,negative
9392,late flight,negative,negative,negative,negative,negative
9890,guy plea give updat sit tarmac flight 601 yet websit still say time,negative,negative,negative,negative,negative
1119,flight 3763 iadsat outdoor track hour,negative,negative,negative,negative,negative
10587,3rd issu plane fuel leak let u know soon decid getmeoffthisplan ineedab,negative,negative,negative,negative,negative
1373,ethiopia adopt child need flight home add grr late flight 227 earli 228 need chang exist reserv,neutral,neutral,neutral,neutral,neutral
10907,thank cant flight cancel flightl mainten reason next avail flight late flight,negative,negative,negative,negative,negative
4536,thank,positive,positive,positive,positive,positive
10241,ever think hire agent come dont think 4 hour hold littl ridicul get clue,negative,negative,negative,negative,negative
7433,follow dm plea,neutral,neutral,neutral,neutral,neutral
11537,tell flight clt srq 5080 wait,negative,negative,negative,negative,negative
9460,frustrat check bag logan given luggag ticketnow luggag lost amp ownership,negative,negative,negative,negative,negative
10779,ye thank appreci u check,positive,positive,positive,positive,positive
1142,thing confus lost prioriti board im mileag plu card member,negative,negative,negative,negative,negative
5057,stuck nyc flight cancel flightl 2 day row long wait time phone run swa help,negative,negative,negative,negative,negative
10159,agent wont hold connect arriv late flight 7 min departur time 3 min late flight flt 1903 gate c19 disappoint,negative,negative,negative,negative,negative
9962,realli hope dont get charg flight couldnt handl influx call bummer,negative,negative,negative,negative,negative
11883,strand 24 hour mia patrick casimir aa staff apolog great inconveni unreal,negative,negative,negative,negative,negative
5180,lost bag flight vega el paso go dalla love gate attend said see coordin get love,negative,negative,negative,negative,negative
2475,final pl dont let connect leav conf npbhd0,neutral,neutral,neutral,neutral,neutral
6803,love youll never work day life,neutral,positive,positive,neutral,neutral
11157,remind 228 well tweet join u,neutral,neutral,neutral,neutral,neutral
9782,plea help need plane wait go elmira tarmac hr baggag took 45 still thru custom,negative,negative,negative,negative,negative
2496,dad book orbitz due weather cant make airport help,neutral,neutral,neutral,neutral,neutral
5590,im 110 lol anyon arriv yet,neutral,neutral,neutral,neutral,neutral
1592,hate passeng,negative,negative,negative,negative,negative
8605,extraspe line close tampa give,negative,negative,negative,negative,negative
4757,discount everi tuesday caus im leav fron birmingham airport san fran next week march sometim,neutral,neutral,neutral,neutral,neutral
2436,unbeliev disappoint delay delay stop mess life,negative,negative,negative,negative,negative
2938,im know seat actual narrow seat feel like mayb im extra bloat,negative,negative,negative,negative,negative
7475,cours,neutral,positive,positive,neutral,neutral
3677,pti pit via iah,neutral,neutral,neutral,neutral,neutral
8711,great trip today thank crew fli u home fantast,positive,positive,positive,positive,positive
2522,1599 wireless 699 epic fail greedi piggi worst,negative,negative,negative,negative,negative
2079,hold almost two hour tri talk someon cancel flight flight tomorrow morn suggest,negative,negative,negative,negative,negative
1607,sit runway newark wont let plane gate connect board 1 minut hate u,negative,negative,negative,negative,negative
232,tri reset password email never arriv help,negative,negative,negative,negative,negative
5498,alist pref doesnt good direct atl alway wifiless flight 1701,negative,negative,negative,negative,negative
7691,let know statu flight 454 pbijfk delay 25hour board problem hatch,negative,negative,negative,negative,negative
10977,follow,neutral,neutral,neutral,neutral,neutral
7091,3 kid 11 day 340 doesnt work month advanc,neutral,neutral,neutral,neutral,neutral
325,momma made,neutral,positive,positive,neutral,neutral
1578,possibl add known travel number ticket flight book problem,neutral,neutral,neutral,neutral,neutral
6829,nice see veteran advantag program gate sunday mcokeep good work jetblu,positive,positive,positive,positive,positive
8340,love,positive,positive,positive,positive,positive
3152,kid left kindl fire hd 6 onboard ua1037 ordsfo today row 9abcdef whole row amongst 5 u help,neutral,positive,positive,neutral,neutral
5648,imagin dragon ticket left tomorrow utah would love go avail,neutral,neutral,neutral,neutral,positive
4603,think 100 voucher make spend 4 hr plane land airport took realli,negative,negative,negative,negative,negative
3878,submit statu match last week heard back im delta custom look switch unit plea assist,neutral,positive,neutral,neutral,neutral
11774,thk 4 tip seem like workaround rather customerfriendli solut easili access email,negative,negative,negative,negative,negative
8676,plan btw excel servic crew dca sju sxm,positive,positive,positive,neutral,neutral
607,despit bag make newark good inform email track updat help,positive,positive,neutral,positive,positive
6355,winner destinationdragon,neutral,neutral,neutral,neutral,neutral
7933,share come,neutral,neutral,neutral,neutral,neutral
11464,thank way get bag thank number,positive,positive,neutral,positive,positive
1582,help get iah sfo earlier tonight,neutral,positive,positive,neutral,neutral
9425,take look 1715 f seat fill someon upgrad friend instead follow rule,negative,negative,negative,negative,negative
6299,board plane told get wasnt plane hour delay,negative,negative,negative,negative,negative
239,sound like fun,positive,positive,positive,neutral,neutral
9737,get answer question hold hour 6x get messag said arent take call,negative,negative,negative,negative,negative
6924,fleet fleek,neutral,neutral,neutral,neutral,neutral
61,call 34 week ago ad 3 flight 2014 elevatethey still havent shown uphelp,negative,negative,negative,negative,negative
11424,sent letter letter get back noth form letter half bake repli usairwaysssuck,negative,negative,negative,negative,negative
6690,hold hournot cool guy,negative,negative,negative,negative,negative
1849,got thank,positive,positive,positive,positive,positive
7971,ye board 644 good luck push wheel realiti dare,negative,negative,negative,negative,negative
5528,go delay chicago offer 630 flight never intend fli,negative,negative,negative,negative,negative
6290,hire emerg leader develop program last day appli today appli,neutral,neutral,neutral,neutral,neutral
11084,guess take chanc amp keep 50 courtesi free seem cabin alway full,negative,negative,negative,negative,negative
5764,airlin chang ticket price middl day annoy,negative,negative,negative,negative,negative
10182,good grief flight cancel flightl hold sinc 0400,negative,negative,negative,negative,negative
3030,im sure offer noth inconveni put twice month tweet dont cut,negative,negative,negative,negative,negative
1762,fli never issu,positive,positive,positive,neutral,neutral
11561,provid best logist experi peopl india mumbai surat navimumbai,positive,positive,positive,positive,positive
1690,suppos custom enjoy scream toddler problem someon complain,negative,negative,negative,negative,negative
3377,need track lost luggag ship need ph human autom 8003352247,negative,negative,negative,negative,negative
7131,enough stop fli jetblu,negative,negative,negative,negative,negative
741,agent met u gate said issu wdelay ua1116 would taken onlin,negative,negative,negative,negative,negative
5321,wrote custom support monday cancel flight flight havent heard back idea what thank,negative,negative,negative,negative,negative
4780,flight 3744 n284wn depart enrout,neutral,neutral,neutral,neutral,neutral
10785,would like watch video loyal custom realli treat ask explan 6 hour delay,negative,negative,negative,negative,negative
5548,total suck flight weather exist staci tucson help overnight vega,negative,negative,negative,negative,negative
8388,spent hour morn hold w custom support want confirm flight taken care,negative,negative,negative,negative,negative
10715,mention im silver prefer member fli everi week alway even meal voucher,negative,negative,negative,negative,negative
7927,phone number news 6318915722,neutral,neutral,neutral,neutral,neutral
11900,plane made miss 2 connect 2 day thank noth,negative,negative,negative,negative,negative
8757,dispatch keep yell hung,negative,negative,negative,negative,negative
391,omg omg nonstop dalla austin virgin,positive,positive,positive,neutral,neutral
4553,call told bag made phl still deliv call deliveri servic,negative,negative,negative,negative,negative
7656,lost loyal custom use 410 time year,negative,negative,negative,negative,negative
5365,hi janet custom servic im call back sit que 40 min plz pick frustrat,negative,negative,negative,negative,negative
3911,volum profit aviat aircargo,neutral,neutral,neutral,neutral,neutral
2612,dm sent thank,positive,positive,neutral,positive,positive
5198,hi flight confirm fwwe7f current stuck norfolk va tri get lga nyc ant updat thx,negative,negative,negative,negative,negative
2098,rout person houston newark nj sfo accept,negative,negative,negative,negative,negative
1556,alway happi start life new wife 5 hr travel delay due maintenec would appear incompet,negative,negative,negative,negative,negative
8031,reason delay,negative,negative,negative,negative,negative
9832,go comput flight ground airlin suck much unansweredquest,negative,negative,negative,negative,negative
4425,frustrat inde especi one know issu,negative,negative,negative,negative,negative
5521,thank see u next wednesday fll save peanut,positive,neutral,neutral,positive,positive
5153,fli mcogtcmh 400 bc cldnt reach swa rerout swa 3104 cancel flightlat voucher wld help,negative,negative,negative,negative,negative
2367,ask stewardess take disinfect wipe trash said hand badservic,negative,negative,negative,negative,negative
3183,board custom onto plane pilot thing expedit time line book new flight come,negative,negative,negative,negative,negative
9439,serious buy wd40 a319 oper flight 634 geg phoenix everi seat squeak w everi shift still ground,negative,negative,negative,negative,negative
64,love three realli cant beat classic,positive,positive,positive,positive,positive
9362,owe tammi winstonsalem call center keep custom,positive,positive,positive,neutral,neutral
5254,chanc there seat open den dal afternoon,neutral,neutral,neutral,neutral,neutral
152,thank check ticket purchas custom happi,positive,positive,positive,positive,positive
10501,book hotel night find room midnight say bag plane cant 23,negative,negative,negative,negative,negative
4217,bag still houston sinc friday still reimburs baggag fee,negative,negative,negative,negative,negative
3119,flt 359 lax ewr pilot brag get ewr earli wait 20 min jetway driver thank unit,negative,negative,negative,negative,negative
2708,one interview last person mean,negative,negative,negative,negative,negative
5158,thank send kid destinationdragon concert vega awesom,positive,positive,positive,positive,positive
11064,total lack cust servic mom fli solo w babi fli w air,negative,negative,negative,negative,negative
3421,defin award employ year united13,neutral,neutral,neutral,neutral,neutral
10220,liter hold sinc 3am estplatinumeventu hung amp back hold understand weather ridicul,negative,negative,negative,negative,negative
2520,flight ua1665 got delay 2 hour due mechan issuecould use free drink 3 make inconveni,negative,negative,negative,negative,negative
