airline_sentiment,airline_sentiment_confidence,text,negativereason_confidence,sentimiento_nb,sentimiento_dt
negative,1.0,thanks still annoying especially miss flight tweet tsa,0.3724,negative,negative
negative,0.3505,gif game strong,0.3505,neutral,neutral
negative,1.0,flight 98 den jfk already 2hrs delayed idea might change due weather forecast etc,1.0,negative,negative
negative,0.6947,close prechk 8pm sunday jfk annoying,0.6947,negative,neutral
negative,1.0,crew didnt say safety say glad stay check information give costumer,0.6779,positive,neutral
negative,1.0,quite possibly ruined entire first day south florida bc disorganization getittogether,0.6891,negative,neutral
negative,1.0,im going write post experience customer service tanked jetblue,1.0,negative,neutral
negative,0.6491,okay name sj crew alamo tatiana keep telling hold leave desk ali told couldnt help bc going break,0.6491,negative,neutral
positive,0.6407,aha ok thanks worried might seat airport tomorrow,,neutral,positive
negative,1.0,stock response delay frustrating poor cust serv amp told 3 ppl wait amp theyd come back,0.6739,negative,neutral
neutral,0.6807,ricoh smith bos provided oust service,,neutral,neutral
negative,1.0,4 hr delay flight jfk via tampa amp worst customer service san juan airport app working day,1.0,negative,negative
negative,1.0,please get luggage 2070 onto carousel 5 logan airport ill able go home,0.6517,negative,neutral
negative,1.0,happens confirmed flight seat available online checkin except even space upgrade,1.0,negative,negative
negative,1.0,thanks response waiting 5 hour really frustrated seems like one jetblue concerned,0.6332,negative,negative
negative,0.6633,tx info dont understand couldnt accurately estimate departure time earlier weather ny fine,0.6633,negative,neutral
neutral,1.0,hey family question trip disney world april please follow could dm guy,,neutral,neutral
positive,0.6571,glad hear thanks sharing video jetblue bff,,positive,positive
neutral,0.6536,mgood get home,0.0,neutral,neutral
positive,1.0,thanks response hopeful,,positive,positive
negative,0.671,update please flight 2601 continues delayed,0.671,negative,negative
neutral,1.0,ok tx tell guy sitting next gate,,negative,neutral
negative,1.0,thank even coming solution great service might sayas trueblue member totally dissatisfiedthanks,0.6967,positive,positive
negative,0.6947,day,0.6947,negative,neutral
negative,1.0,free wifi flt 1254 pbi make 25 hr delay treat u right,1.0,negative,neutral
negative,1.0,flight 1106 delayed ny problem,1.0,negative,negative
neutral,1.0,guarantee well see tomorrow morning fight seat,,negative,neutral
negative,0.6102,thanks update preciate hope get delayed 2 day getting back,0.6102,negative,negative
negative,0.7013,yes working hoping bag next flight deliver home,0.7013,negative,negative
negative,1.0,wellmy paid ticket assigned seat essentially wont flight unless pay,0.7065,negative,negative
negative,0.6838,seat arent guaranteed pay called rep said people booked seat,0.6838,negative,neutral
negative,0.6593,yes please get seat paid,0.3407,negative,neutral
positive,1.0,thanks help cant wait travel get snow,,positive,positive
neutral,1.0,help left nikon camera seat front,,neutral,neutral
negative,1.0,hope customer service rep reliablefriendly usually far living repexper,1.0,negative,neutral
negative,0.6599,fyi last email response undrstnd wasnt best 4 hope 2 wlcm u back onbrd n future nice touch lol,0.3515,negative,neutral
neutral,1.0,think selected already,,neutral,neutral
neutral,1.0,someone driving best get wheelchair get inside,,positive,neutral
neutral,1.0,finally finally,,positive,neutral
positive,0.3715,cool stair jfk walk short distance stair,0.0,neutral,neutral
negative,1.0,scheduling skill failed delay went four hour nearly six dont tell snowbound pbi,1.0,negative,negative
negative,0.7025,sadly app also experiencing difficulty flight information board keeping updated,0.3702,negative,negative
neutral,0.633,disabled seat row 6 get board earlier,0.0,negative,neutral
negative,1.0,thanks guarantee deli ever bag hotel bag missed connection sfo customerservicenot,0.6659,negative,positive
negative,1.0,prefference option something honor one service applied,0.6804,negative,neutral
neutral,0.663,flight 1025 jfk tpa 805am saturday one way ticket,,neutral,negative
negative,1.0,whats excuse time 1117 delay lga tpa know plane air,1.0,negative,neutral
negative,0.6563,go blue dont go back,0.6563,negative,neutral
negative,0.688,usually great experience guy unhappy right,0.688,positive,positive
negative,1.0,whats three delay far resulting three hour unnecessary extra waiting,0.7077,negative,negative
positive,1.0,record le 10minute turnaround time answer question jetblue rock,,positive,neutral
negative,1.0,san diego 4 hour delay jfkeven amex jetblue even 50000 travel mile youre still nothing,1.0,negative,negative
negative,1.0,third straight time flight delayed flying guy last trip,1.0,negative,negative
negative,1.0,youve let 215 delay jfk inbound flight syracuse really ishouldhavedriven,1.0,negative,negative
neutral,0.3568,domestic clear sit lovely terminal need 1 hour prior boarding thanks,0.0,negative,positive
negative,1.0,thanks sending update flight delayed 3 hour unbelievable,0.6204,negative,negative
neutral,0.6427,fact chrishasmadeusblush isnt trending know im loyal,,neutral,neutral
negative,1.0,5 hour delayed hour increment really amp mosaic still pay 25 use lounge waste sunday,1.0,negative,negative
negative,0.6675,havent done yet something online thx,0.6675,negative,neutral
neutral,1.0,woof im red carpet,,neutral,neutral
negative,1.0,wifi flight cant tweet oscar party pic 37000ft bluecarpet seabos,1.0,negative,negative
negative,1.0,thank reply wouldve appreciated communication checking delay jetblue used goto,0.6633,negative,negative
neutral,1.0,confirmation number,,neutral,neutral
negative,1.0,also promised change wife name account also done wtf,1.0,negative,neutral
negative,1.0,guy really suck spent 40 minute phone linking credit account still 12,0.6495,negative,neutral
positive,0.6472,btw robin hayes speaking next month aviation summit ought give shout twitter team rock,,positive,neutral
neutral,0.6889,follow dm please,0.0,neutral,neutral
positive,0.6778,oh thank responding,,positive,positive
negative,0.6932,coming thought tampa,0.6932,negative,neutral
negative,1.0,good perspective safety concern expressed point arrived airport communicationiskey,0.6706,negative,neutral
negative,1.0,exactly flight delayed 599 bdl dca cant seem get answer,0.6684,negative,negative
neutral,1.0,partnership hawaiian live earn hawaiian mile flying jetblue add jb flight booking problem,,neutral,negative
negative,0.6535,point delay take different flight destination,0.6535,negative,negative
positive,1.0,thank guy best,,positive,positive
negative,0.6882,fit 140,0.6882,neutral,neutral
negative,1.0,every time look flight status 30 minute added delay point trouble,1.0,negative,negative
neutral,1.0,soon sending son home saturday,,neutral,neutral
negative,1.0,hey awesome peep whats flight 1159 boston delayed 3hrs,1.0,negative,negative
positive,1.0,great experience flight sfo jfk seat service food everything top quality back soon,,positive,positive
neutral,1.0,wondering possible colleague get earlier flight laxgtjfk tomorrow help,,neutral,negative
negative,0.6697,118 boston still sitting,0.3557,negative,neutral
negative,1.0,dont enough money parking garage fault im paying 10mins 3hrs,0.3516,negative,neutral
negative,1.0,waited 3 hr bag flight 2 hr,0.6932,negative,negative
negative,1.0,backlog hour two unacceptable,0.6449,negative,negative
negative,1.0,agent told u tsa didnt crew get bag,0.6509,negative,neutral
positive,1.0,guy rock,,positive,neutral
positive,0.709,email twitter handle followed gmail,,positive,neutral
negative,1.0,blaming flight 584 luggage debacle luggagegate,1.0,negative,negative
negative,0.686,yoga tv service seems though look forward much,0.686,negative,neutral
neutral,0.6575,w edits dear mba need better benefit work u meet,,neutral,neutral
neutral,0.6529,course,,neutral,neutral
negative,1.0,failed thats answer please dont justify otherwise,0.6819,negative,neutral
negative,1.0,come already delayed 2 hr flight 1415 waited pilot come boston reassign endless trip,1.0,negative,negative
negative,1.0,got alert immediately started looking rebook 11 minute reflight booking problem catch flight srq,0.6667,negative,negative
positive,0.6533,fly jet blue,,positive,neutral
neutral,1.0,perhaps need start recruiting,,neutral,neutral
positive,0.6621,start including pto getaway package im,,positive,neutral
positive,0.6621,thanks use extra time shopping somebody say duty free,0.0,positive,positive
positive,1.0,flight flight booking problem experience pretty great,,positive,positive
positive,1.0,thanks making trip home mintyfresh next brandmance flight ill take selfies love travel business,,positive,positive
negative,1.0,shouldnt find tell u ive flown jet blue since first month experience isnt,0.6699,negative,neutral
negative,0.6602,flight delayed show airport appropriate amount time delay go time,0.6602,negative,negative
negative,0.6736,im honestly would like get going journey,0.6736,negative,neutral
negative,1.0,case alert arrive late flight fourhour delay dont buy,1.0,negative,negative
negative,0.6617,flight tv flight back seated together b6 620 maybe fault still fun,0.6617,negative,negative
negative,1.0,dont believe thats team told u,0.3573,negative,neutral
negative,1.0,also food available even purchase quite shocking since 5 hour international flight,0.66,negative,negative
negative,1.0,1691 jfk one info amp answer boarded plane team awkward spot amp everyone cranky,1.0,negative,neutral
negative,1.0,flight 1562 still waiting bag u checked 12 hour ago people missing connection please help,0.7013,negative,negative
negative,1.0,understand wish would announced delay 2 hour earlier v sitting 2 hr mco,0.6769,negative,negative
negative,1.0,give delayed 2 hour mco jfk every time,1.0,negative,negative
positive,0.6667,well captured brittany love cloud enjoy ride thank,,positive,positive
negative,1.0,according ground staff hasnt even taken plane yet,0.3386,negative,neutral
negative,1.0,thanks making effort credit credit due flight 795 delayed 5 hour instead 8 hour fwiw loweredexpectations,1.0,negative,negative
positive,1.0,thanks good sunday,,positive,positive
negative,1.0,flight 1562 4 12 hour weather delay 45 minute delay getting bag tired passenger,1.0,negative,negative
negative,1.0,flying buf 2 bos missing captain really delayed til 200 happy,1.0,negative,neutral
neutral,1.0,name enzo rt well hello pooch whats name dog,,neutral,neutral
negative,1.0,know wanted pas along good t5 experience esp someone fly 23 time month,1.0,negative,neutral
negative,1.0,thanks home msy tsa precheck agent directing people photo scan beyond rude one grabbed pushed child,1.0,neutral,positive
negative,1.0,hold music suck,0.671,negative,neutral
neutral,0.6606,customer year,0.0,positive,neutral
negative,0.3713,jfk t5 north check 3 bag drop lady 1 checking someone entire time another check in,0.3713,negative,neutral
negative,1.0,excuse though 3 gate change though,1.0,negative,neutral
negative,0.6582,someone bothered inform u airport closed would helped,0.3365,negative,neutral
negative,1.0,get home flight 2016 buf bos missing captain really,1.0,negative,negative
negative,1.0,nope 845am flight leaving almost 5pm 5 cant believe paid money,1.0,negative,negative
positive,1.0,thank finally gate,,positive,positive
negative,1.0,cover cost car service waiting time,0.6838,negative,neutral
neutral,1.0,dont always,,negative,neutral
positive,1.0,landing usual great flight wiyh great crew hello sunny west palm beach jetbluerocks,,positive,positive
negative,0.6809,ridiculous 15 hour coming waiting deplane newborn board,0.3511,negative,negative
negative,1.0,waiting hpn plane hour since landing bc gate please get u plane,0.6503,negative,negative
negative,1.0,late flight several passenger inebriated youre league big alcohol shame,0.3478,negative,negative
negative,1.0,thanks making vacation worth currently waiting runway another hour deplane,1.0,negative,positive
negative,1.0,letting san fran medium rate whats deal look like last time fly anywhere,0.6601,negative,neutral
negative,1.0,empty help desk,0.3437,negative,neutral
negative,1.0,closure people need inform passenger send gate gate w info board updated departure,0.6517,negative,neutral
negative,0.6383,thanks third gate change,0.6383,positive,positive
positive,1.0,beautiful shot thanks sharing using flyfi post welcome flight quickie,,positive,positive
negative,1.0,flight 1533 jfk cartagena airport bar singing opposite praise making pact never fly u,1.0,negative,negative
neutral,0.6658,795 austin,0.0,neutral,neutral
negative,1.0,happened plane meant leave 830 wait 1 buffalo seems organizational error weather,1.0,negative,neutral
negative,1.0,really acceptable informed plane wont start chartering bus take passenger jfk,0.3694,negative,neutral
negative,1.0,u guy 2b kidding help anywhere 5 hour delay still answer bad cust service idlovetoask,0.6733,negative,negative
positive,1.0,bos everything current thanks follow,,positive,positive
positive,1.0,thanks info already board looking forward future upgrade jetblue,,positive,positive
positive,0.67,thing happen ok wish beach airport,0.0,positive,neutral
negative,1.0,3 hour sent plane hangar flight 1533 jfk absolutely ridiculous,1.0,negative,negative
positive,1.0,love jetblue flyfi able charge device domestic a320 flight thanks,,positive,positive
negative,1.0,still sitting plane newburg getting ridiculous way treat loyal customer,1.0,negative,neutral
positive,1.0,touchdown jfk well done pilot jetblue flight 226 jetbluerocks,,positive,negative
negative,1.0,dont think any1 rly know whats goin supposed 2 leave 830a 9a 930a 10a 11a 1130a 12,1.0,negative,neutral
negative,1.0,gracious tell go buy water snack flight delayed 3 hour,0.6507,negative,negative
positive,0.66,tux itd date umosaicmecrazy,,positive,neutral
positive,0.6366,thanks personalized customer service cannedtweet autoresponse,0.0,positive,positive
negative,1.0,much delay fact flight still coming time app give u honest estimate,0.657,negative,negative
negative,1.0,489 flight 589 departing even board,0.6461,negative,negative
positive,1.0,im wearing truebluecolors,,positive,neutral
negative,1.0,30 min past scheduled time w departure sight flight longer qualifies time updateyourwebsite 489,1.0,negative,negative
neutral,1.0,whatever lil mint heart desire,,neutral,neutral
negative,1.0,appreciate head 1045 11am flight delayed bc crew stuck boston communicationfail dobetterjetblue,1.0,negative,negative
positive,0.6832,yup know fault ideal sittin hour always staff great,0.0,positive,positive
negative,1.0,flt1533 carta goin 1st told plane coming hangar gate change one know wat plane getting,0.6518,negative,neutral
positive,1.0,got thanks quick reply,,positive,positive
negative,1.0,isnt something tell crew job,1.0,negative,neutral
negative,1.0,app need updating say flight time well past boarding time 2hr delay,0.6383,negative,negative
neutral,1.0,bag still fly free started charging thanks,,positive,positive
positive,1.0,great experience working glenn cole buffaloniagara airport top notch employee,,positive,positive
positive,0.6671,well last update right direction least ill keep finger crossed,0.0,positive,neutral
neutral,0.3437,charleston app guy minute ago,0.0,negative,neutral
positive,1.0,thx social medium person,,positive,neutral
negative,1.0,airportwide delay bos get unlucky 152,1.0,negative,neutral
neutral,1.0,hear safety 1 think get jfk though let help pilot passenger amp crew get safely,,neutral,neutral
negative,0.6363,jfk still closed tryna get ft lauderdale flight 502 want get home nyc,0.3497,negative,negative
negative,1.0,woulda nice let u know post board still show flight time,0.6812,negative,negative
positive,1.0,always mosaicmecrazy sunrise bestairline nofilterneeded amp love flyfi,,positive,neutral
negative,1.0,flt 136 phx delayed 2 hr circle 1 hr divert upstate ny sitting 1 hr communication horrible,1.0,negative,neutral
positive,0.6869,miraculously fixed plane kudos shoe ever,,positive,neutral
neutral,1.0,thats cause trueblue ur love keep liftin higherandhigher,,neutral,neutral
negative,1.0,online resource say time clearly information age,0.6782,negative,neutral
negative,1.0,crew gate,0.6832,negative,neutral
positive,0.6632,yall really better american airline though,0.0,positive,neutral
negative,1.0,dont tell update board,0.6316,negative,neutral
positive,1.0,say come brandloveaffair w ur soulandinspiration umosaicmecrazy,,neutral,neutral
negative,1.0,issue jfk pilot explained jfk reopens get scheduled back cant divert lga closer acy,0.6632,negative,neutral
negative,1.0,want talk wall,1.0,neutral,neutral
negative,1.0,poor flight management reason scheduled 800 pm flight takr 1100pm,0.6773,negative,negative
neutral,0.64,hi way check track flight arrive amp flight depart,0.0,neutral,negative
negative,0.6632,note time taken 906 flight still listed time 910 im onboard,0.3368,negative,negative
negative,1.0,910 flight listed time 904am im plane yet,1.0,negative,negative
neutral,0.6843,ok start looking flight,0.0,neutral,negative
negative,0.6518,ok got far atlantic city due jfk closed get u hpn lga please,0.6518,negative,neutral
neutral,0.6316,flight 622 nassau jfk showing cancelled flightled yet assuming info,0.0,neutral,negative
negative,0.6935,need eta please,0.3586,neutral,neutral
neutral,1.0,100 confirm,,negative,neutral
negative,0.6309,fly 2301 delayed ice jfk switch late flightr flight free,0.6309,negative,negative
negative,1.0,best way kill nine hour airport flight full airline wont put standby stranded,1.0,negative,negative
negative,0.6552,yes said runway isnt ready theyre waiting port authority remove snow sight,0.3448,negative,neutral
negative,0.6575,travel business twice week fiasco ill flying blue often thanks,0.3394,positive,positive
neutral,1.0,flight 751 returning gate provide information,,neutral,negative
negative,1.0,wont see money poor service stuck virgin america thinking trying jetblue,1.0,negative,neutral
negative,1.0,suck customer service worst whats point loyalty scheme dont honor badairline,1.0,negative,neutral
positive,1.0,fll mde great flight great customer service thanks 2 mths waiting speak human customer service,,positive,positive
negative,0.6688,update flight 475 leaving tf green delayed,0.6688,negative,negative
negative,1.0,well said cancelled flight pa system guess trying get plane boston 100 confirmed,1.0,negative,negative
negative,1.0,thats get page cancelled flighted 45 min ago help flight mco,1.0,negative,negative
neutral,1.0,im sorry cheated please take back wore protection,,neutral,neutral
negative,1.0,flight 475 cancelled flighted due lavatory problem cant confirm gon na get flight boston logan int,1.0,negative,negative
positive,1.0,okay thank ill check,,positive,positive
negative,1.0,woman stole seat plane one sit elsewhere standard protocol,0.6484,negative,neutral
positive,1.0,good morning sylvie great flight yourock gt thank jetblue jetbluerocks,,positive,positive
positive,1.0,came thanks followup thats youre best,,positive,positive
positive,1.0,thanks see soon,,positive,positive
negative,0.6842,yep still waiting bag jfk whats holdup look like flight got time,0.6842,negative,negative
positive,0.6742,thanks getting u nyc jfk really safely srsly long take get checked bag eternity 5ammisery,0.0,positive,positive
neutral,1.0,expect delay dca 7am departure going orlando flight 723,,negative,negative
negative,1.0,full six u leave flight wait whole day get flight kid miss school,0.3458,negative,negative
negative,1.0,boarding order someone boarded service animal member party allergic flight,0.6751,negative,negative
negative,1.0,ridiculous got home supposed land 3 hour ago bc hella tired,1.0,negative,negative
negative,1.0,lost loyal customer use 410 time year,0.6495,positive,neutral
negative,1.0,highlight travel 3 hour delay deicing twice sitting bumper bumper traffic taxi finally get home,0.7013,negative,negative
positive,1.0,great flight brand new jet great seating beautiful plane big fan airline,,positive,positive
negative,1.0,voucher cant believe took risk plane terribly filthy 15 screaming baby face,1.0,negative,neutral
neutral,1.0,download jeokoo american app air traveler,,neutral,neutral
negative,1.0,ive spoken 2emailed jb team explained situation didnt seem matter anyone guess expected,1.0,negative,neutral
neutral,1.0,alright hope jetblue app showing change seat online show a320 dont want surprise,,neutral,neutral
neutral,0.64,know guy super busy flight 1222 a320 e190,0.0,positive,negative
neutral,1.0,follow pls,,neutral,neutral
negative,1.0,shocked misbehavior cheap comment jet airway staff passenger delhi airport friday boarding dubai disgusting,0.6785,negative,neutral
positive,1.0,thank thank finally set jetblue app yay,,positive,positive
negative,1.0,employee logan told finally got one meet daughter first solo flight rude rep,0.6946,negative,negative
negative,0.6749,customer service brutal,0.6749,negative,neutral
neutral,1.0,airway continue various commercial relationship lufthansa,,neutral,neutral
positive,1.0,airline sound outstanding twitter feed clearly extremely useful keep great work,,positive,positive
positive,0.6942,amazing short delay gave 150 credit literally pretty much fault missed flight,0.0,negative,negative
negative,1.0,flight attendant hesitant give baby sized cooky,1.0,negative,negative
negative,0.6192,u let make fun size cooky stuckonaplane so babyfood,0.3256,negative,neutral
positive,1.0,thank standing line,,positive,positive
negative,0.6774,thanks yes order rum coke get hotel voucher floor chair arent cushy,0.3441,negative,positive
positive,1.0,thank,,positive,positive
neutral,1.0,please help save daughter life detail go,,neutral,neutral
neutral,1.0,land,,negative,neutral
negative,1.0,missed goal inept male stewardess landed already havent taken yet,0.6747,negative,neutral
negative,1.0,horrible job jfkyou need rethink put route together unprofessional,0.6556,neutral,neutral
negative,1.0,let know status flight 454 pbijfk delayed 25hours board problem hatch,1.0,negative,negative
negative,0.3723,thanks response crew patient u also frustrated wouldnt bad airport closed,0.3723,negative,negative
negative,1.0,interupt staduim series dont need see stupid commercial emergency info,0.6527,negative,neutral
negative,1.0,sat plane 3 hour dulles insane ijustwanttobeinboston thanksdc,0.6806,negative,negative
negative,0.6702,still waiting bag flight 26 landed hour ago,0.6702,negative,negative
neutral,0.6735,would love fort lauderdale would cool,,positive,neutral
positive,1.0,best,,positive,neutral
positive,1.0,thanks bringing son home,,positive,positive
positive,1.0,got hot lady flying air life loyal,,positive,neutral
positive,1.0,nothing praise helping lady make flight chs tonight impressed,,positive,negative
negative,1.0,got luggage waiting 40 min went home right family ada friendly waiting long w chair,0.3606,negative,neutral
neutral,1.0,flew flight 3 month ago girlfriend got away sex restroom allowed,,negative,negative
positive,1.0,thanks much cant wait fly guy,,positive,positive
negative,1.0,flight 2202 jfk 2 amp 12 hr delay could get weather relate flightd considering come,0.6809,negative,negative
positive,0.6768,ok thank,,positive,positive
positive,1.0,thanks speedy flight time recovery,,positive,positive
positive,1.0,thank taking care drink since inflight entertainment wasnt working goodcustomerservice,,positive,positive
neutral,0.6729,able change even space seat weve checked online flight tmrw cant seem change seat,0.0,neutral,negative
positive,0.3563,would say delay likely thanks much,0.0,negative,positive
neutral,0.6545,chance one flight leaving 6am newark nj cancelled flightled tomorrow,0.0,neutral,negative
positive,0.3519,follow able dm thanks,0.0,positive,positive
neutral,0.3711,tomorrow wouldnt soon enough thank info,0.0,positive,neutral
negative,0.7158,figured 4 flight 2morrow hard believe oil low killing u make even part hotel cant compd,0.3684,negative,negative
positive,0.6756,another awesome telephone experience thank cory greatcustomerservice,0.0,positive,positive
negative,1.0,saw one useless tsa agent inspected shoe,0.6364,negative,neutral
neutral,0.6591,cup coffee relax check new deal promotion avon twice month doug,,neutral,neutral
negative,1.0,disappointed missed connection roc slc reimbursement even tho friend pilot said due atc,0.6593,negative,neutral
neutral,0.6461,yes party,0.0,negative,neutral
positive,0.6747,thank,,positive,positive
positive,1.0,went beyond helpful,,negative,neutral
negative,0.6671,didnt find unfortunately helpful took info incase get found,0.3651,negative,neutral
neutral,1.0,selfie extreme,,neutral,neutral
positive,1.0,employee charles cave gate msy went beyond help try help find glass thought u know,,positive,neutral
positive,1.0,best cant wait use travel bank fun trip,,positive,neutral
positive,0.6595,plane hopefully longer mercy playlist thanks,0.0,positive,positive
neutral,0.678,new ceo seek right balance please passenger wall daily journal,,neutral,neutral
neutral,1.0,boston gate c12,,neutral,neutral
neutral,0.6532,thanks change music boarding gate,0.0,negative,positive
negative,1.0,crew one helping,0.6614,positive,neutral
neutral,1.0,opal dragon book dragon ali woven murdering way philippine australia,,neutral,neutral
negative,1.0,lipstick pig still pig ur new baggage claim sju disaster chair 20 min wait baggage fail,0.6522,negative,neutral
neutral,1.0,able watch oscar flight tomorrow,,negative,negative
positive,1.0,exciting time ahead,,positive,neutral
neutral,1.0,ceo battle appease passenger wall street waterbury republican american,,neutral,neutral
negative,1.0,cool gate turn flight fll jax delayed yet app say time good start,1.0,negative,negative
negative,1.0,trying fly bos jfk flight delayed traveling kid book hotel getting tonight,0.6667,negative,negative
negative,1.0,tell point u realize u cant fly dca tonight u cancelled flightled 1pm u cancelled flight 526,1.0,negative,negative
negative,1.0,already cancelled flightled one b4 u dca,1.0,negative,neutral
negative,0.6652,point u cancelled flight flight dca airline already cancelled flightled,0.3434,negative,negative
negative,1.0,hopefully flight seattle boston 2pm wifi first one entertain lizaapproved,0.6636,negative,negative
positive,1.0,good hear thx responsive,,positive,neutral
neutral,1.0,yup mco 82,,neutral,neutral
neutral,1.0,hey check snowing boston could predicted thing,,neutral,neutral
negative,1.0,customer feel like stick airline jet blue travel work past 5 year never seen 70,1.0,positive,neutral
positive,0.6344,cool thx couple pgashow flight til im mosaiccant wait easier change flight weather bad,,positive,negative
neutral,1.0,phew pant wheeze,,neutral,neutral
positive,1.0,thanks much help u u r amazing,,positive,positive
neutral,0.672,thanks next weekend though guess go higher,,neutral,positive
neutral,0.7033,actually flight 1089 1098,0.0,neutral,negative
neutral,0.6922,bos dca 1098 716 pm,0.0,neutral,neutral
negative,1.0,ive pricing 8 year know 70 buck seat criminal 2030 understand pricing flying jetblue pricewise,0.6543,negative,neutral
negative,1.0,guy need live chat,1.0,neutral,neutral
negative,0.6458,obviously wasnt linked nothing tried book,0.6458,negative,neutral
positive,1.0,awesome thank,,positive,positive
negative,1.0,quick person traveling w mosaic get green tag doesnt make sense end waitin 4 son bag anyway,0.3469,negative,neutral
negative,0.6984,got wish would communicate w u,0.6984,negative,neutral
negative,1.0,continuing record never flight leave time add much time family cost jetblue,1.0,negative,negative
neutral,1.0,using jetblue mile,,neutral,neutral
negative,1.0,guess redo flight booking problem ugh,0.3532,negative,negative
negative,1.0,suck oh well,0.6388,negative,neutral
negative,1.0,shes standing cell announcement info thismosaicnothappy,0.6664,negative,neutral
neutral,0.6826,using jetblue air mile,0.0,neutral,neutral
negative,1.0,someone info smh one bag came nothing,1.0,negative,neutral
negative,0.6822,there nothing apparently connect true,0.3485,neutral,neutral
neutral,1.0,hello tell currently fly hawaii thanks,,neutral,positive
negative,1.0,u see whats holding flt 1002 bag one bag came nothing else 10 minute,0.6854,negative,neutral
negative,1.0,wouldnt credit right account instead separate sign seems pretty ridiculous,1.0,negative,neutral
positive,1.0,thanks update,,positive,positive
neutral,0.6517,clear folder regularly jetblue white listed never got,0.0,neutral,neutral
neutral,1.0,cant call right baby fell asleep,,neutral,neutral
positive,0.6686,course bestdressed bluecarpet,,neutral,neutral
negative,0.6591,seems never received id password,0.6591,neutral,neutral
neutral,1.0,yesterday deal,,neutral,neutral
neutral,0.6472,yesterday flight wanted chicago sale within point range today isnt way guy still honor,0.0,neutral,negative
neutral,0.6669,email say sign travel bank,0.0,neutral,neutral
negative,0.6822,yes last month boston got first big snow storm flight cancelled flightled,0.3629,negative,negative
negative,1.0,travel bank credit go cant call right,0.6405,neutral,neutral
positive,0.6489,offered complimentary drink switching seat stewardess asked age amp said 30 giggled goodgenes ilookyoung,,positive,neutral
positive,0.693,thanks still booked trip 31317 lb slc see grand kid frustrating tried app web etc still love u guy,,positive,positive
positive,1.0,thank im excited fly first time,,positive,positive
negative,1.0,love airlinehate website tried book 2 ticket 1 w mile 1 wout absolute joke need lot work,0.6842,negative,neutral
neutral,1.0,rule checked baggage carry ons slc sjo,,neutral,neutral
positive,1.0,thanks much condolence quick response much appreciated,,positive,positive
positive,1.0,thank alicia exceptionalservice,,positive,positive
negative,1.0,yes de baggage claim im sad baggage treat u please need baggage,0.6383,negative,neutral
negative,1.0,mom baggage lost fly 1557 fort lauderdalebogot today colombian employee treated u badly need help please,1.0,neutral,neutral
negative,1.0,change made son pas printed conf mine print expressed disapptment w jetblue,1.0,negative,neutral
negative,1.0,unhappy customer waiting 20 min hold rude amp uncaring rep frozen acct cant print bdng pas,1.0,negative,neutral
neutral,0.6582,minute spare,0.0,neutral,neutral
negative,1.0,first place really didnt need extra stress already terrible time oh way made flight 30,1.0,negative,negative
negative,1.0,missed flight book flight extremely last minute due family death there excuse attitude,0.6552,negative,negative
negative,1.0,serious attitude fault running tad behind even knew name flight info assured,0.6667,negative,negative
negative,1.0,fly wu much however kiosk broken syr 1 woman working ticket counter,0.3723,negative,neutral
neutral,0.6792,yup 33036 foot selfie,,neutral,neutral
positive,0.6652,mission accomplished gave hug,,positive,neutral
neutral,0.6842,commercial like legroom one,,neutral,neutral
neutral,0.6581,ill tell say hey,,negative,neutral
neutral,0.6837,wife booked last minute flight funeral separately would like seat 2gether dm confs,,neutral,negative
positive,0.6469,im session presented one beloved traveler see love much,,positive,neutral
negative,0.6725,hold foreverrrrrr,0.6725,negative,neutral
negative,1.0,happy customer weve waited patiently mention 150 six month marathon training need 2 tmrw,0.6526,negative,neutral
negative,1.0,waiting flight fl 12 marathon tmrw 4 charity u bumped u 2a late flightr flight amp cancelled flightled fix,1.0,negative,negative
neutral,0.667,flier gain access wsj content analyst blog nasdaq,,neutral,neutral
positive,1.0,oh definitely kind fly jetblue,,positive,neutral
positive,1.0,thanks getting orlando early happiness,,positive,positive
neutral,0.6508,portauprince haiti continued food distribution medical supply amp orphan care flyingitforward,,neutral,neutral
neutral,1.0,haiti id food distribution hundred hungry kid nearby village flyingitforward,,neutral,neutral
neutral,0.6598,id go back haiti deliver shoe booksampmedicine kid met orphanage last year flyingitforward,,neutral,neutral
neutral,1.0,airway covered bank america jblu dakota financial news,,neutral,neutral
neutral,1.0,may check 17monthold child foldup crib free flight tomorrow similar policy infant car seat,,neutral,negative
neutral,1.0,offer free flight fly forward campaign via travel cause,,neutral,negative
neutral,1.0,airway stock rating lowered vetr inc jblu dakota financial news,,neutral,neutral
negative,1.0,fail snow coming dc area tried get earlier flight refused flight 65 hour delayed greedy foolish,1.0,negative,negative
neutral,1.0,waiver ny weather today,,positive,neutral
positive,0.7128,got thanks,,positive,positive
negative,0.3898,thanks including u tour pack winter coatunfortunately yes werenotincalianymore,0.3898,positive,positive
positive,1.0,even though flight 226 didnt much needed hot beverage 4 u nyers landing super smooth happytweet,,positive,negative
negative,1.0,website cant print boarding pas,0.6869,negative,neutral
positive,1.0,thanks getting boston early breaking barrier clean energy future,,positive,positive
neutral,1.0,going giving travel agent rate hold iata card,,neutral,neutral
neutral,1.0,ceo battle appease passenger wall street waterbury republican american,,neutral,neutral
positive,1.0,ah staff perfect morning jfk sleep,,positive,neutral
